ts,providerid,click,revenue
2017070112,26,3,0.39695099999999994
2017070807,6,14,20.080000207162016
2017070903,12,138,19.344225000000005
2017070917,26,9,0.49675199999999997
2017071617,19,39,0.8100000000000003
2017072301,60,107834,23151.714799874102
2017072317,12,153,25.15316100000001
2017080504,800000000,1829,0
2017080608,10,2673,3966.6599967313123
2017080704,16,1,1.583718
2017081513,60,91342,26211.03681659985
2017071506,31,784,0
2017071603,6,22,14.240000409457759
2017071713,26,31,1.2061840000000004
2017071920,21,25,69.65999906489893
2017072413,19,22,0.41741700000000004
2017073017,6,24,37.49000024710597
2017073113,12,140,28.836800000000004
2017080718,31,2463,0
2017080815,6,35,58.29000064745583
2017080911,12,55,
2017081300,800000000,2924,0
2017081404,10,2618,4469.780031768014
2017081500,16,1,0.429729
2017070112,28,1361,0
2017070807,8,17,60.140002929049025
2017070917,28,851,0
2017071617,21,1,0.5299999985148819
2017072302,31,1182,0
2017080608,12,16,1.8724070000000002
2017081514,31,1851,0
2017070111,60,52779,14158.160077758852
2017070916,60,97254,24661.264677027964
2017071603,8,47,49.33999969988959
2017071713,28,2344,0
2017072206,26,2,0.26287
2017072413,21,9,29.739999810561855
2017072420,800000000,2943,0
2017072620,16,9,10.041004000000001
2017073017,8,43,85.67000115353983
2017080120,28,1302,0
2017080704,19,6,0.19
2017080815,8,78,240.6399998154714
2017081308,6,7,80.89000102048685
2017081404,12,93,16.274239999999992
2017081418,26,5,0.086642
2017070223,19,12,0.5399999999999999
2017070703,800000000,3092,0
2017070807,10,1681,2667.7300142631493
2017071712,60,73281,19190.327710861817
2017072117,800000000,3169,0
2017072317,16,1,1.194986
2017073002,26,2,0.565194
2017081500,19,3,0.09000000000000001
2017070112,31,3665,0
2017070917,31,1904,0
2017071409,60,39297,7226.161807795973
2017071603,10,2933,3998.939990450612
2017072206,28,1121,0
2017073017,10,6415,8337.940027903713
2017073113,16,2,3.813815
2017080704,21,2,1.9599999803007013
2017080711,800000000,4491,0
2017080815,10,9866,14375.780088813899
2017080911,16,5,
2017081308,8,14,26.800000118553317
2017081418,28,1257,0
2017070223,21,4,10.780000700850092
2017070807,12,37,6.397474
2017071713,31,1761,0
2017071810,6,9,6.660000089505118
2017071920,26,24,2.3217060000000003
2017072205,60,61982,13605.630195210677
2017072620,19,16,0.502108
2017073002,28,926,0
2017080120,31,2816,0
2017080408,800000000,4467,0
2017080608,16,3,5.75546
2017080800,28,798,0
2017081417,60,116892,34754.28480483941
2017081500,21,12,16.629999501194277
2017070903,19,7,0.11000000000000001
2017071507,6,11,58.23000167164257
2017071603,12,166,35.510580000000004
2017071617,26,15,0.6094720000000001
2017072317,19,50,1.0100000000000005
2017073001,60,103052,22925.356103211947
2017073017,12,189,42.229109000000015
2017080719,6,27,45.100000069569326
2017080815,12,199,26.404058000000013
2017081204,800000000,2789,0
2017081308,10,2136,2930.570006197846
2017071616,58,1,0
2017071810,8,37,106.7800011237102
2017071920,28,1355,0
2017072206,31,582,0
2017072303,6,17,11.779999843199212
2017072413,26,14,1.063177
2017072620,21,7,29.16000056459765
2017073113,19,4,0.1
2017080911,19,3,
2017081418,31,2130,0
2017081515,6,38,79.73000114012044
2017070903,21,4,15.660000330657796
2017070910,800000000,2955,0
2017071507,8,12,22.13000053189255
2017071617,28,1145,0
2017072317,21,2,0.509999986167273
2017073002,31,2252,0
2017080608,19,2,0.06
2017080719,8,104,134.35999988825026
2017080800,31,3185,0
2017081308,12,34,6.249722000000001
2017070607,800000000,2915,0
2017070807,16,1,1.229999
2017071616,60,100140,26695.401867324283
2017071810,10,3338,4054.8300082195005
2017072303,8,24,14.070000101215362
2017072413,28,2176,0
2017073120,800000000,3045,0
2017080704,26,1,0.106814
2017080911,21,3,9.049999368076264
2017081404,19,2,0.05
2017081515,8,29,58.290002434286016
2017070113,6,14,49.989999262273514
2017070223,26,10,0.7746600000000001
2017070918,6,28,27.020000602452143
2017071403,800000000,3525,0
2017071507,10,1943,3164.0199910546057
2017071920,31,1517,0
2017072412,60,85870,20569.93634725643
2017073017,16,14,18.150978000000002
2017080608,21,1,0.020000000046619105
2017080615,800000000,4794,0
2017080719,10,13637,16557.720123009836
2017080815,16,17,27.057574000000002
2017081500,26,67,1.022975
2017070222,58,2,0
2017071617,31,1527,0
2017071714,6,37,35.58000079529603
2017071810,12,192,23.479077000000018
2017072109,60,39982,7231.889850409633
2017072303,10,2810,2834.1500092439555
2017080121,6,24,62.99999982403336
2017080704,28,1308,0
2017081404,21,2,3.260000049437244
2017081411,800000000,3553,0
2017081515,10,9015,13859.840035415511
2017070113,8,63,121.78000080393376
2017070223,28,645,0
2017070807,19,5,0.14
2017070918,8,44,67.97000026335856
2017071507,12,51,10.352757
2017072413,31,1430,0
2017072510,6,5,10.729999843275774
2017072620,26,16,1.6039800000000006
2017080703,60,98506,21194.232041877407
2017080719,12,50,15.541597000000003
2017081108,800000000,4203,
2017081308,16,1,1.358094
2017081500,28,775,0
2017070222,60,132937,25092.44910538032
2017070903,26,10,0.5426289999999999
2017071603,19,11,0.27307000000000003
2017071714,8,96,149.120001658703
2017072207,6,11,10.92999999526744
2017072303,12,475,65.62035799999992
2017072317,26,18,1.4902919999999995
2017073017,19,2,0.04
2017080121,8,70,104.20000268364466
2017080815,19,1,0.05
2017081419,6,121,160.58000330607587
2017081515,12,99,23.989698999999995
2017070113,10,4914,7941.930040210972
2017070814,800000000,2973,0
2017070918,10,4972,8278.009998094918
2017071823,60,116694,29605.84883475696
2017072510,8,25,50.85999934979162
2017072620,28,1266,0
2017073003,6,26,44.669999904446584
2017073113,26,2,0.292266
2017080704,31,2429,0
2017080801,6,19,35.789999778564194
2017070223,31,4694,0
2017070320,6,25,89.61000352123
2017070903,28,760,0
2017071603,21,14,15.34000034876867
2017071610,800000000,3141,0
2017071714,10,7005,10790.950038010704
2017071810,16,3,8.549991
2017072207,8,19,28.220000329558776
2017072317,28,1336,0
2017073017,21,2,3.4599999920105033
2017080121,10,8313,10254.390016188196
2017080608,26,4,0.492736
2017080822,800000000,4072,0
2017081308,19,1,0.02
2017081419,8,49,111.32000083963375
2017081500,31,2432,0
2017070113,12,81,15.134355000000006
2017070902,60,102691,22292.657614873304
2017070918,12,173,38.03995299999999
2017071307,800000000,3068,0
2017071921,6,43,43.66000196178578
